Case Identification,Region,Type of Place of Residence,Source of Drinking Water,Type of Toilet Facility,Has Electricity,Main Floor Material,Main Wall Material,Main Roof Material,Has Bicycle,Has Motorcycle or Scooter,Has Car or Truck,Has Mosquito Bed Net for Sleeping,Owns Land Suitable for Agriculture,Has Bank Account,Wealth Index,State
1002,2,1,7,12,1,1,4,13,0,0,0,1,1,0,3,33
1004,2,1,12,12,1,5,4,13,1,0,1,1,1,1,3,33
1007,2,1,13,12,1,1,4,13,0,1,0,1,0,0,3,33
1010,2,1,13,12,1,1,4,13,1,1,1,1,0,0,4,33
1013,2,1,12,12,1,2,4,13,0,1,1,1,0,1,4,33
1016,2,1,13,12,1,8,3,13,0,1,0,1,1,1,3,33
1019,2,1,13,12,1,1,10,13,0,0,1,1,0,1,4,33
1022,2,1,12,12,1,1,4,13,0,1,0,1,0,1,4,33
1025,2,1,12,12,1,1,4,13,0,1,0,1,0,1,4,33
1027,2,1,13,10,1,1,4,13,0,0,0,0,0,0,3,33
1030,2,1,11,12,1,1,5,13,0,0,0,0,0,0,3,33
1033,2,1,8,10,1,1,4,13,0,0,0,1,1,0,3,33
1036,2,1,13,12,1,1,5,13,0,0,0,1,0,0,3,33
1039,2,1,13,10,1,1,5,13,0,0,0,1,0,0,3,33
1042,2,1,11,12,1,1,5,13,0,0,0,1,0,0,0,33
1045,2,1,11,3,1,1,5,13,1,0,0,1,0,1,4,33
1048,2,1,11,2,1,2,4,13,0,1,1,1,1,1,4,33
1051,2,1,8,12,1,1,13,13,0,0,0,1,0,1,0,33
1053,2,1,13,12,1,1,4,13,1,0,1,1,0,1,4,33
1056,2,1,13,12,1,1,4,13,1,0,0,1,0,0,3,33
1059,2,1,13,12,1,2,4,13,0,0,1,1,0,1,4,33
1062,2,1,8,3,1,1,5,13,0,0,0,0,0,0,4,33
1065,2,1,13,3,1,1,12,13,0,0,1,1,1,0,4,33
1068,2,1,13,3,1,1,5,13,0,1,0,1,0,0,3,33
1071,2,1,8,10,1,1,5,13,0,0,0,1,0,1,4,33
2003,2,1,8,12,1,8,4,13,0,1,0,1,0,0,3,33
2005,2,1,13,12,1,8,4,13,0,1,0,1,0,1,3,33
2007,2,1,8,12,1,8,7,13,1,0,0,1,1,1,0,33
2009,2,1,13,12,1,1,4,13,0,0,0,1,0,1,3,33
2011,2,1,13,12,1,1,4,13,0,0,0,1,0,1,3,33
2013,2,1,13,12,1,2,4,13,0,0,1,1,1,1,4,33
2016,2,1,8,12,1,1,4,11,0,1,0,1,0,1,4,33
2018,2,1,13,12,1,1,13,13,0,0,0,1,0,0,0,33
2020,2,1,8,12,1,1,4,13,0,1,0,0,0,1,4,33
2022,2,1,8,3,1,1,12,13,1,0,1,0,1,1,3,33
2024,2,1,8,3,1,1,13,13,1,1,0,0,0,1,0,33
2026,2,1,8,12,1,1,4,13,0,1,0,1,0,1,3,33
2029,2,1,13,12,0,4,13,13,0,0,0,0,0,0,0,33
2031,2,1,8,3,1,1,13,13,0,0,0,1,0,1,3,33
2033,2,1,8,11,1,1,13,13,0,0,0,0,0,1,3,33
2035,2,1,13,10,0,4,13,13,0,0,0,1,1,0,0,33
2037,2,1,8,10,1,1,12,13,0,0,0,1,0,1,3,33
2039,2,1,3,11,1,4,0,10,0,0,0,1,1,0,2,33
2042,2,1,5,10,1,1,0,0,1,0,0,0,1,1,3,33
2044,2,1,5,11,1,4,0,10,0,1,0,1,1,1,2,33
2048,2,1,3,11,1,2,4,0,0,0,0,0,0,1,3,33
2050,2,1,15,11,0,1,4,2,0,1,0,0,1,1,2,33
2052,2,1,3,10,1,7,0,11,0,0,0,1,0,1,0,33
2054,2,1,11,10,0,1,0,10,0,0,0,0,0,1,0,33
3002,2,0,13,8,0,4,12,12,0,0,1,1,1,1,2,33
3003,2,0,13,12,0,4,12,12,0,1,0,1,1,0,1,33
3005,2,0,7,8,0,4,0,6,0,1,0,1,1,0,2,33
3007,2,0,15,8,0,4,12,12,0,1,0,1,1,0,1,33
3008,2,0,15,8,0,4,12,12,0,0,0,1,1,0,1,33
3010,2,0,13,8,0,4,13,6,0,0,0,1,1,0,2,33
3012,2,0,13,8,0,8,12,6,0,0,0,1,1,0,1,33
3014,2,0,13,8,0,4,13,12,0,0,0,1,1,0,2,33
3015,2,0,13,8,0,4,12,13,0,0,0,1,1,0,1,33
